time_seconds,scene_score
847.6,0.364868
853.6,0.463370
855.72,0.483091
857.52,0.584942
864,0.503135
870.8,0.368681
872.8,0.479063
874.68,0.429065
880.6,0.485037
882.28,0.434775
884.36,0.463261
885.68,0.535345
890.52,0.461050
895.08,0.461170
899.08,0.475786
900.52,0.580506
907.28,0.548019
908.6,0.462927
910.24,0.410214
914.8,0.377456
917,0.355179
920.76,0.435124
922.8,0.442744
923.12,0.489013
923.76,0.380320
924.84,0.687088
926.48,0.533678
928.32,0.455990
931.44,0.416912
933.2,0.367846
933.8,0.517690
938.8,0.394108
941.6,0.427104
943.8,0.528095
947.52,0.539977
951.04,0.690413
955.36,0.726454
956.36,0.476993
958.96,0.544843
961.8,0.491093
964.8,0.451296
967.12,0.539882
970.88,0.573331
975.4,0.563602
976.92,0.642517
977.8,0.613790
979.6,0.519487
980.32,0.509619
981.36,0.573917
982.2,0.530920
984.16,0.597784
986.96,0.392201
988.08,0.649177
989.36,0.480657
990.2,0.367241
991.52,0.431522
992.6,0.362656
994.2,0.513204
996.72,0.476035
998.92,0.465572
1000.44,0.405608
1001.48,0.537118
1004.4,0.532496
1006.8,0.362749
1007.48,0.467765
1012,0.682723
1012.96,0.566750
1014.56,0.402351
1016.72,0.499833
1018.92,0.462492
1021.12,0.492110
1021.8,0.521650
1023.6,0.717176
1024.96,0.616407
1025.64,0.469614
1026.44,0.441965
1027.8,0.471582
1029.08,0.503596
1029.88,0.544077
1030.72,0.359999
1031.72,0.368432
1033.24,0.385330
1036.04,0.468527
1037.08,0.488252
1039.36,0.480978
1040.4,0.508252
1041.64,0.459662
1043.48,0.360797
1043.72,0.459120
1043.8,0.379018
1044.92,0.355808
1045.04,0.373764
1045.16,0.359378
1045.32,0.528367
1045.64,0.578413
1045.72,0.555470
1045.8,0.363321
1046.64,0.599451
1047.56,0.683213
1047.72,0.355030
1048.56,0.569596
1049.44,0.532966
1050.24,0.504712
1052.2,0.355719
1056.44,0.411647
1057.4,0.590853
1058.48,0.538122
1067.24,0.442372
1070.64,0.478177
1072.16,0.506028
1075.52,0.522672
1078.52,0.599341
1081.08,0.600968
1082.32,0.531056
1083.16,0.494224
1087.48,0.599067
1089.32,0.494871
1091.6,0.476323
1093.4,0.458663
1095.96,0.429877
1096.84,0.495655
1098.84,0.602441
1101.4,0.491377
1103.2,0.476023
1104.08,0.571845
1105.8,0.476587
1109.12,0.455964
1113.04,0.465887
1115,0.419159
1116.2,0.531096
1117.92,0.664738
1120.24,0.482879
1125.12,0.397607
1128.2,0.501621
1130.24,0.394194
1132.16,0.430864
1134.2,0.513704
1136.32,0.407055
1137.8,0.387000
1138.8,0.543081
1139.08,0.407825
1139.84,0.409356
1143.08,0.369405
1147.52,0.475896
1148.4,0.531761
1149.32,0.537448
1150.56,0.431584
1153.48,0.653576
1154.64,0.472979
1156.32,0.472961
1157,0.414937
1158,0.470060
1160.32,0.514377
1162.12,0.579469
1163.68,0.678890
1164.32,0.517244
1164.6,0.411380
1165.04,0.454304
1165.56,0.565444
1168.04,0.390873
1170.56,0.589385
1173.96,0.495844
1175.04,0.480831
1177.96,0.356822
1179.32,0.613110
1180.56,0.794608
1181.4,0.817588
